/Library/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/deeptivelusamy/CSE536Mapper&reducer/thread_test.py
deathsbedGot 1
disparage 1
where 11
tike 1
vision 4
vanquisheth 1
gout 2
enthralled 1
Stood 3
pennyworth 2
pronouns 1
Publish 1
Stoop 1
stepdame 2
Lafeu 1
ie 1
horned 2
coachfellow 1
AAnd 1
misprised 2
surgery 1
DENNIS 1
sworest 1
diver 1
rages 3
mutton 1
plummet 1
That 11
lessheI 1
avails 1
strongwingd 1
enjoyd 2
wherethank 1
Tear 1
therewithal 3
witsnapper 1
houhs 1
wellyou 1
moons 3
affecting 2
enjoys 1
Told 1
presage 1
Than 11
forsake 2
pitiless 3
Kents 1
Humbly 2
reignd 1
useful 1
soughtst 1
apparition 1
friended 1
Aeeseniech 1
punto 1
braggarts 1
conned 1
spare 9
pluck 8
Treason 1
uncheckd 1
spark 2
manacles 2
umber 1
undermine 1
landmen 1
elders 1
circumference 2
mans 10
conversed 2
pantaloon 1
hearsed 1
many 11
Spider 1
deflowerd 1
s 7
goodliest 1
Already 3
perfidiously 1
trsoned 1
allowance 2
riddle 1
unbashful 1
inclining 1
Virgilia 1
repulse 2
inhumantwill 1
considerd 2
hurts 6
wrappd 1
torturer 1
fated 2
twin 2
article 3
boar 3
geese 3
Hundred 1
indignation 2
boat 3
practiser 1
practises 3
Caius 5
theopene 1
aducking 1
treatyYou 1
stretch 6
west 4
id 1
vacation 1
mutinous 1
uaothr 1
breath 10
Sardinia 1
vials 1
smmwen 1
practised 4
combined 1
motives 2
overland 1
Songs 1
pricking 1
Hie 3
wants 11
husbansebhe 1
ithissomAare 1
illfavoredly 1
thousand 11
mechanicals 1
reechy 1
pigmys 1
observe 4
snaffle 1
formey 1
abject 1
extant 1
Gentlewoman 1
Round 2
whitingtime 1
prognostication 1
queasy 3
folding 1
profane 2
tinderbox 1
fin 1
fliers 2
pretence 3
curd 1
squeezes 1
loyalst 1
conveyance 2
confidently 1
tutors 1
Commanded 2
endured 3
croppd 1
halberds 1
quies 1
penthouse 2
summoners 1
withEndymtiod 1
brow 8
Nym 1
purse 8
guiled 1
BellarirwThat 1
depeche 1
Looking 3
ostents 1
stanch 1
blackbrowd 1
toothache 2
Veiling 1
fame 6
lightsickn 1
sonties 1
Towards 2
verified 2
crisped 1
threatens 1
perpetually 1
gelding 1
expediently 1
Audreyas 1
irksome 1
biding 1
threatend 3
cutpurses 1
Banished 1
sickness 7
I 11
defy 4
affrights 1
hpphy 1
Hhetis 1
prentice 1
Noahs 1
assignd 2
priory 1
Prester 1
advertisement 2
lading 1
traind 1
Says 3
flocks 1
selfdanger 1
vacant 1
Neapolitan 1
pacing 1
Polemon 1
costs 1
tutord 1
trains 1
comer 1
blessedness 1
provand 1
Pursuit 1
Seacole 1
summer 7
kidneythink 1
manifold 2
ransoms 1
nowun 1
being 11
woodleaves 1
soundly 1
slime 1
rest 11
ransomd 1
disperse 1
Dismissing 1
distilld 2
quods 1
inaudible 1
whelkd 1
provocation 1
presumption 1
lengthend 1
honourablethey 1
deceiving 2
childed 1
toadspotted 1
retinue 1
torturest 1
plumed 1
Enthroned 1
instrument 4
parson 2
ofienied 1
overthrow 1
plumes 1
neverwithering 1
Frateretto 1
joyful 6
skies 2
correcting 1
aspects 1
unhopefullest 1
egregious 1
worlt 1
sums 4
meas 1
Nile 2
dart 2
dark 10
traffic 1
inferiors 1
world 11
snare 1
aweary 3
dare 8
Note 3
barbermonger 1
Rises 1
Nazarite 1
stranger 7
comingin 1
Extremely 1
Myr 1
Share 1
Wearying 1
Augustus 1
discarded 2
lAndbeLoos 1
Valiant 1
clay 3
Notwithstanding 1
claw 1
Mye 1
wend 2
questiondst 1
depend 2
obstruct 1
Outbrave 1
ofntemoraly 1
grub 1
livings 1
Evils 1
India 2
thinke 1
cleanliest 1
Circumstantial 1
Obedient 1
moreover 4
Menenius 1
Sextus 1
divine 9
singest 1
thinks 9
balladmakers 2
Strengthend 1
revenger 1
revenges 4
safest 1
luce 1
memories 2
noon 4
spurns 1
dimpled 1
nook 1
inwhe 1
Julius 2
revenged 5
exit 1
tainting 1
Answerd 1
cloyless 1
situate 1
sided 1
restoring 1
thathissing 1
fortunetelling 1
destroys 1
deadlooking 1
Celerity 1
Dutchman 3
power 10
intimate 1
prosecution 1
Partition 1
poise 1
